feature,coefficient,abs_coefficient
mean_historian_distance,0.28802030384665006,0.28802030384665006
perimeter,-0.23299756706295843,0.23299756706295843
area,-0.061852111342336896,0.061852111342336896
mean_pairwise_abstract_similarity,-0.03285718436546512,0.03285718436546512
angle_variance,-0.02609350109950888,0.02609350109950888
abstract_distance_variance,0.00731780368918773,0.00731780368918773
source_embedding_variance,0.004979121669692508,0.004979121669692508
bias_score,-0.0037781582278247805,0.0037781582278247805
dominant_historian_position,0.001216891681700455,0.001216891681700455
mean_source_embedding_distance,-0.0009858113518934886,0.0009858113518934886
