geometry_id,triad_id,source_ids,n_sources,distance_matrix,distance_mean,distance_std,distance_min,distance_max,distance_p10,distance_p25,distance_p50,distance_p75,distance_p90,within_hist1_mean,within_hist2_mean,within_hist3_mean,between_hist12_mean,between_hist13_mean,between_hist23_mean,within_mean,between_mean,within_between_ratio,created_at
1,1,"[""fa0c2ee0-1ea5-4c25-9e14-85f2ed1b19e9"", ""d468ab42-3884-4344-ad4a-4a703636fd6a"", ""f4ec8f9b-7107-4263-be45-63839cd8d9e5"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439"", ""9f057df4-1a37-4381-9330-b1eb52be0fa8"", ""b61d6063-352e-460a-a3a1-5b4b5b421d03"", ""1fc82526-64da-4839-9258-0989b84da432""]",9,"[[-2.384185791015625e-07, 0.36945897340774536, 0.45316755771636963, 0.552573025226593, 0.6365320682525635, 0.6443614959716797, 0.9294112324714661, 0.7594786286354065, 0.7222887277603149], [0.36945897340774536, 0.0, 0.5153966546058655, 0.6620486378669739, 0.7530361413955688, 0.7286362648010254, 0.964626669883728, 0.8555164933204651, 0.8886900544166565], [0.45316755771636963, 0.5153966546058655, -3.5762786865234375e-07, 0.48873287439346313, 0.5435300469398499, 0.5531437397003174, 0.8457425236701965, 0.6836119890213013, 0.5412882566452026], [0.552573025226593, 0.6620486378669739, 0.48873287439346313, 0.0, 0.5231590270996094, 0.5027233958244324, 0.718445897102356, 0.7013993263244629, 0.598381519317627], [0.6365320682525635, 0.7530361413955688, 0.5435300469398499, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805, 0.8769724369049072, 0.7620187997817993, 0.6725626587867737], [0.6443614959716797, 0.7286362648010254, 0.5531437397003174, 0.5027233958244324, 0.23776960372924805, 0.0, 0.8162137866020203, 0.6794744729995728, 0.6875970959663391], [0.9294112324714661, 0.964626669883728, 0.8457425236701965, 0.718445897102356, 0.8769724369049072, 0.8162137866020203, -1.1920928955078125e-07, 0.38363373279571533, 0.5895657539367676], [0.7594786286354065, 0.8555164933204651, 0.6836119890213013, 0.7013993263244629, 0.7620187997817993, 0.6794744729995728, 0.38363373279571533, -3.5762786865234375e-07, 0.5184962749481201], [0.7222887277603149, 0.8886900544166565, 0.5412882566452026, 0.598381519317627, 0.6725626587867737, 0.6875970959663391, 0.5895657539367676, 0.5184962749481201, 2.384185791015625e-07]]",0.6488801836967468,0.16310548782348633,0.23776960372924805,0.964626669883728,0.4709502160549164,0.5367559492588043,0.6673056483268738,0.7546467632055283,0.8662444651126862,0.44600772857666016,0.4212173521518707,0.49723193049430847,0.6180660724639893,0.7989616394042969,0.7236740589141846,0.454818993806839,0.7135671973228455,0.6373877548088316,2026-03-13 10:57:37.288789
2,2,"[""fa0c2ee0-1ea5-4c25-9e14-85f2ed1b19e9"", ""d468ab42-3884-4344-ad4a-4a703636fd6a"", ""f4ec8f9b-7107-4263-be45-63839cd8d9e5"", ""1649d640-1cf1-475a-abd3-f478e0ff2f2c"", ""8dc5eebf-9315-445b-816e-4386eb58315b"", ""a6eaba2e-1f45-4f05-b7d5-35bad1b2cfdc"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439""]",9,"[[-2.384185791015625e-07, 0.36945897340774536, 0.45316755771636963, 0.7108089327812195, 0.6701802015304565, 0.6922703981399536, 0.552573025226593, 0.6365320682525635, 0.6443614959716797], [0.36945897340774536, 0.0, 0.5153966546058655, 0.8805745840072632, 0.7949956059455872, 0.8792896866798401, 0.6620486378669739, 0.7530361413955688, 0.7286362648010254], [0.45316755771636963, 0.5153966546058655, -3.5762786865234375e-07, 0.6953206062316895, 0.7246856093406677, 0.6442999839782715, 0.48873287439346313, 0.5435300469398499, 0.5531437397003174], [0.7108089327812195, 0.8805745840072632, 0.6953206062316895, 1.1920928955078125e-07, 0.4083142876625061, 0.47687655687332153, 0.5504151582717896, 0.34004759788513184, 0.35930323600769043], [0.6701802015304565, 0.7949956059455872, 0.7246856093406677, 0.4083142876625061, -1.1920928955078125e-07, 0.4321507215499878, 0.6217797994613647, 0.6509354114532471, 0.654181718826294], [0.6922703981399536, 0.8792896866798401, 0.6442999839782715, 0.47687655687332153, 0.4321507215499878, 1.1920928955078125e-07, 0.670328676700592, 0.7180960178375244, 0.7089648246765137], [0.552573025226593, 0.6620486378669739, 0.48873287439346313, 0.5504151582717896, 0.6217797994613647, 0.670328676700592, 0.0, 0.5231590270996094, 0.5027233958244324], [0.6365320682525635, 0.7530361413955688, 0.5435300469398499, 0.34004759788513184, 0.6509354114532471, 0.7180960178375244, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805], [0.6443614959716797, 0.7286362648010254, 0.5531437397003174, 0.35930323600769043, 0.654181718826294, 0.7089648246765137, 0.5027233958244324, 0.23776960372924805, 0.0]]",0.5957802534103394,0.1478375792503357,0.23776960372924805,0.8805745840072632,0.38888663053512573,0.49922576546669006,0.6404160261154175,0.6987316608428955,0.7408362030982971,0.44600772857666016,0.4391138553619385,0.4212173521518707,0.7436028718948364,0.6180660724639893,0.5860058069229126,0.4354463219642639,0.6492248773574829,0.6707172462901386,2026-03-13 10:57:37.435450
3,3,"[""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439"", ""d7a13c59-f54e-4871-8969-a770ff1278af"", ""55fcb557-5bf5-4031-a678-78f389083a49"", ""41e3e0cf-1b24-4b1e-be49-8bf7ced43ad2"", ""9f057df4-1a37-4381-9330-b1eb52be0fa8"", ""b61d6063-352e-460a-a3a1-5b4b5b421d03"", ""1fc82526-64da-4839-9258-0989b84da432""]",9,"[[0.0, 0.5231590270996094, 0.5027233958244324, 0.57734215259552, 0.5126997232437134, 0.5126997232437134, 0.718445897102356, 0.7013993263244629, 0.598381519317627], [0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805, 0.30183374881744385, 0.3138587474822998, 0.3138587474822998, 0.8769724369049072, 0.7620187997817993, 0.6725626587867737], [0.5027233958244324, 0.23776960372924805, 0.0, 0.4151262044906616, 0.38007569313049316, 0.38007569313049316, 0.8162137866020203, 0.6794744729995728, 0.6875970959663391], [0.57734215259552, 0.30183374881744385, 0.4151262044906616, 0.0, 0.27378320693969727, 0.27378320693969727, 0.9710468649864197, 0.834839940071106, 0.8104308843612671], [0.5126997232437134, 0.3138587474822998, 0.38007569313049316, 0.27378320693969727, 0.0, 0.0, 0.8791342377662659, 0.6903942823410034, 0.6775928735733032], [0.5126997232437134, 0.3138587474822998, 0.38007569313049316, 0.27378320693969727, 0.0, 0.0, 0.8791342377662659, 0.6903942823410034, 0.6775928735733032], [0.718445897102356, 0.8769724369049072, 0.8162137866020203, 0.9710468649864197, 0.8791342377662659, 0.8791342377662659, -1.1920928955078125e-07, 0.38363373279571533, 0.5895657539367676], [0.7013993263244629, 0.7620187997817993, 0.6794744729995728, 0.834839940071106, 0.6903942823410034, 0.6903942823410034, 0.38363373279571533, -3.5762786865234375e-07, 0.5184962749481201], [0.598381519317627, 0.6725626587867737, 0.6875970959663391, 0.8104308843612671, 0.6775928735733032, 0.6775928735733032, 0.5895657539367676, 0.5184962749481201, 2.384185791015625e-07]]",0.5731697678565979,0.2211706042289734,0.0,0.9710468649864197,0.28780847787857056,0.3827442228794098,0.5939736366271973,0.7056609690189362,0.8559061884880066,0.4212173521518707,0.18252213299274445,0.49723193049430847,0.41195225715637207,0.7236740589141846,0.7900622487068176,0.36699047684669495,0.6418961882591248,0.5717287056058135,2026-03-13 10:57:37.576107
4,4,"[""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439"", ""a4267204-5286-44ce-81a3-755ab27f6bb7"", ""f4ec8f9b-7107-4263-be45-63839cd8d9e5"", ""6c5f15e8-0839-4d4e-b016-372414a4ef7e"", ""9f057df4-1a37-4381-9330-b1eb52be0fa8"", ""b61d6063-352e-460a-a3a1-5b4b5b421d03"", ""1fc82526-64da-4839-9258-0989b84da432""]",9,"[[0.0, 0.5231590270996094, 0.5027233958244324, 0.5337153077125549, 0.48873287439346313, 0.5120627880096436, 0.718445897102356, 0.7013993263244629, 0.598381519317627], [0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805, 0.6239665746688843, 0.5435300469398499, 0.6044642925262451, 0.8769724369049072, 0.7620187997817993, 0.6725626587867737], [0.5027233958244324, 0.23776960372924805, 0.0, 0.6251068115234375, 0.5531437397003174, 0.5904498100280762, 0.8162137866020203, 0.6794744729995728, 0.6875970959663391], [0.5337153077125549, 0.6239665746688843, 0.6251068115234375, -2.384185791015625e-07, 0.5528877973556519, 0.3594099283218384, 0.8129150867462158, 0.6912432312965393, 0.6216593980789185], [0.48873287439346313, 0.5435300469398499, 0.5531437397003174, 0.5528877973556519, -3.5762786865234375e-07, 0.481359601020813, 0.8457425236701965, 0.6836119890213013, 0.5412882566452026], [0.5120627880096436, 0.6044642925262451, 0.5904498100280762, 0.3594099283218384, 0.481359601020813, -1.1920928955078125e-07, 0.8398020267486572, 0.7717909812927246, 0.7270430326461792], [0.718445897102356, 0.8769724369049072, 0.8162137866020203, 0.8129150867462158, 0.8457425236701965, 0.8398020267486572, -1.1920928955078125e-07, 0.38363373279571533, 0.5895657539367676], [0.7013993263244629, 0.7620187997817993, 0.6794744729995728, 0.6912432312965393, 0.6836119890213013, 0.7717909812927246, 0.38363373279571533, -3.5762786865234375e-07, 0.5184962749481201], [0.598381519317627, 0.6725626587867737, 0.6875970959663391, 0.6216593980789185, 0.5412882566452026, 0.7270430326461792, 0.5895657539367676, 0.5184962749481201, 2.384185791015625e-07]]",0.6186760663986206,0.1408669650554657,0.23776960372924805,0.8769724369049072,0.48504623770713806,0.5310762375593185,0.6130618453025818,0.7056609690189362,0.814564436674118,0.4212173521518707,0.4645524322986603,0.49723193049430847,0.5639079809188843,0.7236740589141846,0.7261218428611755,0.46100056171417236,0.6712346076965332,0.6867949840908558,2026-03-13 10:57:37.708071
5,5,"[""6ec50673-04ef-42b6-bc65-fb5ca96716ca"", ""dee6f6e0-c93a-4e23-a577-5ec87e13c6ec"", ""e703f913-5bce-44fd-8753-c209dcebce44"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439"", ""1c85402e-1dda-4dc7-9fe1-0721787b8108"", ""5e5e6a1c-a3c7-4613-9fd1-adcc73f118a1"", ""60fdffca-9e95-42f9-829b-dec8874c8293""]",9,"[[-1.1920928955078125e-07, 0.15213513374328613, 0.5752769112586975, 0.7582231163978577, 0.8643606901168823, 0.9057962894439697, 0.9433763027191162, 0.8279921412467957, 0.820928156375885], [0.15213513374328613, 1.1920928955078125e-07, 0.4814063310623169, 0.7740784883499146, 0.8436896800994873, 0.9008947014808655, 0.8906720280647278, 0.777950644493103, 0.8194699287414551], [0.5752769112586975, 0.4814063310623169, 0.0, 0.6892057657241821, 0.7220700979232788, 0.7773633003234863, 0.7480813264846802, 0.6802149415016174, 0.6869082450866699], [0.7582231163978577, 0.7740784883499146, 0.6892057657241821, 0.0, 0.5231590270996094, 0.5027233958244324, 0.7925806045532227, 0.7832798957824707, 0.5973067879676819], [0.8643606901168823, 0.8436896800994873, 0.7220700979232788, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805, 0.6970151662826538, 0.8014072179794312, 0.7040939331054688], [0.9057962894439697, 0.9008947014808655, 0.7773633003234863, 0.5027233958244324, 0.23776960372924805, 0.0, 0.6745767593383789, 0.8347566723823547, 0.6718322038650513], [0.9433763027191162, 0.8906720280647278, 0.7480813264846802, 0.7925806045532227, 0.6970151662826538, 0.6745767593383789, -3.5762786865234375e-07, 0.5049126744270325, 0.5588180422782898], [0.8279921412467957, 0.777950644493103, 0.6802149415016174, 0.7832798957824707, 0.8014072179794312, 0.8347566723823547, 0.5049126744270325, 0.0, 0.39159882068634033], [0.820928156375885, 0.8194699287414551, 0.6869082450866699, 0.5973067879676819, 0.7040939331054688, 0.6718322038650513, 0.5588180422782898, 0.39159882068634033, -3.5762786865234375e-07]]",0.6921091079711914,0.17871612310409546,0.15213513374328613,0.9433763027191162,0.49206486344337463,0.5917993187904358,0.7350757122039795,0.8198344856500626,0.877516359090805,0.40293946862220764,0.4212173521518707,0.4851098358631134,0.8039646744728088,0.7995104193687439,0.7285387516021729,0.4364222288131714,0.7773380279541016,0.5614317235473526,2026-03-13 10:57:37.955967
6,6,"[""1649d640-1cf1-475a-abd3-f478e0ff2f2c"", ""8dc5eebf-9315-445b-816e-4386eb58315b"", ""a6eaba2e-1f45-4f05-b7d5-35bad1b2cfdc"", ""6ec50673-04ef-42b6-bc65-fb5ca96716ca"", ""dee6f6e0-c93a-4e23-a577-5ec87e13c6ec"", ""e703f913-5bce-44fd-8753-c209dcebce44"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439""]",9,"[[1.1920928955078125e-07, 0.4083142876625061, 0.47687655687332153, 0.9736425876617432, 0.9825908541679382, 0.7888810634613037, 0.5504151582717896, 0.34004759788513184, 0.35930323600769043], [0.4083142876625061, -1.1920928955078125e-07, 0.4321507215499878, 0.8244561553001404, 0.8267433643341064, 0.6884152889251709, 0.6217797994613647, 0.6509354114532471, 0.654181718826294], [0.47687655687332153, 0.4321507215499878, 1.1920928955078125e-07, 0.8537861108779907, 0.8742486238479614, 0.782288670539856, 0.670328676700592, 0.7180960178375244, 0.7089648246765137], [0.9736425876617432, 0.8244561553001404, 0.8537861108779907, -1.1920928955078125e-07, 0.15213513374328613, 0.5752769112586975, 0.7582231163978577, 0.8643606901168823, 0.9057962894439697], [0.9825908541679382, 0.8267433643341064, 0.8742486238479614, 0.15213513374328613, 1.1920928955078125e-07, 0.4814063310623169, 0.7740784883499146, 0.8436896800994873, 0.9008947014808655], [0.7888810634613037, 0.6884152889251709, 0.782288670539856, 0.5752769112586975, 0.4814063310623169, 0.0, 0.6892057657241821, 0.7220700979232788, 0.7773633003234863], [0.5504151582717896, 0.6217797994613647, 0.670328676700592, 0.7582231163978577, 0.7740784883499146, 0.6892057657241821, 0.0, 0.5231590270996094, 0.5027233958244324], [0.34004759788513184, 0.6509354114532471, 0.7180960178375244, 0.8643606901168823, 0.8436896800994873, 0.7220700979232788, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805], [0.35930323600769043, 0.654181718826294, 0.7089648246765137, 0.9057962894439697, 0.9008947014808655, 0.7773633003234863, 0.5027233958244324, 0.23776960372924805, 0.0]]",0.6637389063835144,0.20327128469944,0.15213513374328613,0.9825908541679382,0.38380876183509827,0.5180501192808151,0.6990852952003479,0.8250279575586319,0.8875716626644135,0.4391138553619385,0.40293946862220764,0.4212173521518707,0.8438947200775146,0.5860058069229126,0.8039646744728088,0.4210902452468872,0.744621753692627,0.5655089220247377,2026-03-13 10:57:38.280252
7,7,"[""9b52965a-42eb-42d1-9b9f-f0561b7e7adf"", ""fa0c2ee0-1ea5-4c25-9e14-85f2ed1b19e9"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439"", ""9f057df4-1a37-4381-9330-b1eb52be0fa8"", ""b61d6063-352e-460a-a3a1-5b4b5b421d03"", ""1fc82526-64da-4839-9258-0989b84da432""]",9,"[[0.0, 0.47028154134750366, 0.5034704208374023, 0.5034704208374023, 0.6097937822341919, 0.6474477052688599, 0.9424505829811096, 0.8824450969696045, 0.8157135248184204], [0.47028154134750366, -2.384185791015625e-07, 0.552573025226593, 0.552573025226593, 0.6365320682525635, 0.6443614959716797, 0.9294112324714661, 0.7594786286354065, 0.7222887277603149], [0.5034704208374023, 0.552573025226593, 0.0, 0.0, 0.5231590270996094, 0.5027233958244324, 0.718445897102356, 0.7013993263244629, 0.598381519317627], [0.5034704208374023, 0.552573025226593, 0.0, 0.0, 0.5231590270996094, 0.5027233958244324, 0.718445897102356, 0.7013993263244629, 0.598381519317627], [0.6097937822341919, 0.6365320682525635, 0.5231590270996094, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805, 0.8769724369049072, 0.7620187997817993, 0.6725626587867737], [0.6474477052688599, 0.6443614959716797, 0.5027233958244324, 0.5027233958244324, 0.23776960372924805, 0.0, 0.8162137866020203, 0.6794744729995728, 0.6875970959663391], [0.9424505829811096, 0.9294112324714661, 0.718445897102356, 0.718445897102356, 0.8769724369049072, 0.8162137866020203, -1.1920928955078125e-07, 0.38363373279571533, 0.5895657539367676], [0.8824450969696045, 0.7594786286354065, 0.7013993263244629, 0.7013993263244629, 0.7620187997817993, 0.6794744729995728, 0.38363373279571533, -3.5762786865234375e-07, 0.5184962749481201], [0.8157135248184204, 0.7222887277603149, 0.598381519317627, 0.598381519317627, 0.6725626587867737, 0.6875970959663391, 0.5895657539367676, 0.5184962749481201, 2.384185791015625e-07]]",0.6245782375335693,0.18329165875911713,0.0,0.9424505829811096,0.486502468585968,0.5219933390617371,0.6404467821121216,0.7194066047668457,0.8465931117534637,0.508774995803833,0.4212173521518707,0.49723193049430847,0.5133400559425354,0.7855571508407593,0.7236740589141846,0.4757413864135742,0.6741904020309448,0.7056484117549601,2026-03-13 10:57:38.515728
8,8,"[""6ec50673-04ef-42b6-bc65-fb5ca96716ca"", ""dee6f6e0-c93a-4e23-a577-5ec87e13c6ec"", ""e703f913-5bce-44fd-8753-c209dcebce44"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439"", ""9f057df4-1a37-4381-9330-b1eb52be0fa8"", ""b61d6063-352e-460a-a3a1-5b4b5b421d03"", ""1fc82526-64da-4839-9258-0989b84da432""]",9,"[[-1.1920928955078125e-07, 0.15213513374328613, 0.5752769112586975, 0.7582231163978577, 0.8643606901168823, 0.9057962894439697, 0.8439676761627197, 0.8709924221038818, 0.8823758363723755], [0.15213513374328613, 1.1920928955078125e-07, 0.4814063310623169, 0.7740784883499146, 0.8436896800994873, 0.9008947014808655, 0.8802179098129272, 0.878422737121582, 0.869948148727417], [0.5752769112586975, 0.4814063310623169, 0.0, 0.6892057657241821, 0.7220700979232788, 0.7773633003234863, 0.8426703214645386, 0.8096742630004883, 0.7417902946472168], [0.7582231163978577, 0.7740784883499146, 0.6892057657241821, 0.0, 0.5231590270996094, 0.5027233958244324, 0.718445897102356, 0.7013993263244629, 0.598381519317627], [0.8643606901168823, 0.8436896800994873, 0.7220700979232788, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805, 0.8769724369049072, 0.7620187997817993, 0.6725626587867737], [0.9057962894439697, 0.9008947014808655, 0.7773633003234863, 0.5027233958244324, 0.23776960372924805, 0.0, 0.8162137866020203, 0.6794744729995728, 0.6875970959663391], [0.8439676761627197, 0.8802179098129272, 0.8426703214645386, 0.718445897102356, 0.8769724369049072, 0.8162137866020203, -1.1920928955078125e-07, 0.38363373279571533, 0.5895657539367676], [0.8709924221038818, 0.878422737121582, 0.8096742630004883, 0.7013993263244629, 0.7620187997817993, 0.6794744729995728, 0.38363373279571533, -3.5762786865234375e-07, 0.5184962749481201], [0.8823758363723755, 0.869948148727417, 0.7417902946472168, 0.598381519317627, 0.6725626587867737, 0.6875970959663391, 0.5895657539367676, 0.5184962749481201, 2.384185791015625e-07]]",0.703693687915802,0.18326783180236816,0.15213513374328613,0.9057962894439697,0.49206486344337463,0.5961775779724121,0.7500067055225372,0.8490659296512604,0.8793203234672546,0.40293946862220764,0.4212173521518707,0.49723193049430847,0.8039646744728088,0.8466732501983643,0.7236740589141846,0.4404629170894623,0.7914372682571411,0.5565354763485236,2026-03-13 10:57:38.789366
9,9,"[""f77383b2-968b-4fc9-940f-506a32e25610"", ""4510e046-fff1-426d-b8bb-7d7f8e147752"", ""a28f7d57-8d13-4551-8e41-23eb67b9617e"", ""6ec50673-04ef-42b6-bc65-fb5ca96716ca"", ""dee6f6e0-c93a-4e23-a577-5ec87e13c6ec"", ""e703f913-5bce-44fd-8753-c209dcebce44"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439""]",9,"[[0.0, 0.6012649536132812, 0.48872530460357666, 0.8745728135108948, 0.8599802255630493, 0.7122111320495605, 0.6464022994041443, 0.6761981248855591, 0.6550980806350708], [0.6012649536132812, 1.1920928955078125e-07, 0.6174551248550415, 0.779545247554779, 0.803022027015686, 0.7342549562454224, 0.5955384373664856, 0.7190228700637817, 0.7101801633834839], [0.48872530460357666, 0.6174551248550415, -1.1920928955078125e-07, 0.873320460319519, 0.8754833340644836, 0.7220684289932251, 0.620438277721405, 0.6058663129806519, 0.6341595649719238], [0.8745728135108948, 0.779545247554779, 0.873320460319519, -1.1920928955078125e-07, 0.15213513374328613, 0.5752769112586975, 0.7582231163978577, 0.8643606901168823, 0.9057962894439697], [0.8599802255630493, 0.803022027015686, 0.8754833340644836, 0.15213513374328613, 1.1920928955078125e-07, 0.4814063310623169, 0.7740784883499146, 0.8436896800994873, 0.9008947014808655], [0.7122111320495605, 0.7342549562454224, 0.7220684289932251, 0.5752769112586975, 0.4814063310623169, 0.0, 0.6892057657241821, 0.7220700979232788, 0.7773633003234863], [0.6464022994041443, 0.5955384373664856, 0.620438277721405, 0.7582231163978577, 0.7740784883499146, 0.6892057657241821, 0.0, 0.5231590270996094, 0.5027233958244324], [0.6761981248855591, 0.7190228700637817, 0.6058663129806519, 0.8643606901168823, 0.8436896800994873, 0.7220700979232788, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805], [0.6550980806350708, 0.7101801633834839, 0.6341595649719238, 0.9057962894439697, 0.9008947014808655, 0.7773633003234863, 0.5027233958244324, 0.23776960372924805, 0.0]]",0.6809155941009521,0.16776984930038452,0.15213513374328613,0.9057962894439697,0.4957243502140045,0.6047159731388092,0.7111956477165222,0.7854144424200058,0.8739466369152069,0.5691484808921814,0.40293946862220764,0.4212173521518707,0.8038287162780762,0.6514337658882141,0.8039646744728088,0.4644351005554199,0.7530757784843445,0.6167176183652479,2026-03-13 10:57:38.980415
10,10,"[""fa0c2ee0-1ea5-4c25-9e14-85f2ed1b19e9"", ""d468ab42-3884-4344-ad4a-4a703636fd6a"", ""f4ec8f9b-7107-4263-be45-63839cd8d9e5"", ""f77383b2-968b-4fc9-940f-506a32e25610"", ""4510e046-fff1-426d-b8bb-7d7f8e147752"", ""a28f7d57-8d13-4551-8e41-23eb67b9617e"", ""921f089c-8edf-40dd-a0cf-c005975f7c08"", ""411eaadb-2b9d-490e-b5e3-156001227989"", ""5231a679-05dd-4a3f-bdbf-7d46c2771439""]",9,"[[-2.384185791015625e-07, 0.36945897340774536, 0.45316755771636963, 0.6618016362190247, 0.5893905162811279, 0.7003970146179199, 0.552573025226593, 0.6365320682525635, 0.6443614959716797], [0.36945897340774536, 0.0, 0.5153966546058655, 0.8636975288391113, 0.7525629997253418, 0.8130319118499756, 0.6620486378669739, 0.7530361413955688, 0.7286362648010254], [0.45316755771636963, 0.5153966546058655, -3.5762786865234375e-07, 0.6042361259460449, 0.4700273275375366, 0.5659704208374023, 0.48873287439346313, 0.5435300469398499, 0.5531437397003174], [0.6618016362190247, 0.8636975288391113, 0.6042361259460449, 0.0, 0.6012649536132812, 0.48872530460357666, 0.6464022994041443, 0.6761981248855591, 0.6550980806350708], [0.5893905162811279, 0.7525629997253418, 0.4700273275375366, 0.6012649536132812, 1.1920928955078125e-07, 0.6174551248550415, 0.5955384373664856, 0.7190228700637817, 0.7101801633834839], [0.7003970146179199, 0.8130319118499756, 0.5659704208374023, 0.48872530460357666, 0.6174551248550415, -1.1920928955078125e-07, 0.620438277721405, 0.6058663129806519, 0.6341595649719238], [0.552573025226593, 0.6620486378669739, 0.48873287439346313, 0.6464022994041443, 0.5955384373664856, 0.620438277721405, 0.0, 0.5231590270996094, 0.5027233958244324], [0.6365320682525635, 0.7530361413955688, 0.5435300469398499, 0.6761981248855591, 0.7190228700637817, 0.6058663129806519, 0.5231590270996094, 5.960464477539063e-08, 0.23776960372924805], [0.6443614959716797, 0.7286362648010254, 0.5531437397003174, 0.6550980806350708, 0.7101801633834839, 0.6341595649719238, 0.5027233958244324, 0.23776960372924805, 0.0]]",0.6043259501457214,0.1198156476020813,0.23776960372924805,0.8636975288391113,0.47937631607055664,0.5384372919797897,0.6116607189178467,0.6655860096216202,0.7405996322631836,0.44600772857666016,0.5691484808921814,0.4212173521518707,0.6690127849578857,0.6180660724639893,0.6514337658882141,0.47879117727279663,0.6461707949638367,0.7409669099941176,2026-03-13 10:57:39.159344
