paperId,title,abstract,year,citationCount
https://openalex.org/W2045633722,"Trust, Reciprocity, and Social History",,1995,5560
https://openalex.org/W2162874368,The Feminist Standpoint: Developing the Ground for a Specifically Feminist Historical Materialism,"The power of the Marxian critique of class domination stands as an implicit suggestion that feminists should consider the advantages of adopting a historical materialist approach to understanding phallocratic domination. A specifically feminist historical materialism might enable us to lay bare the laws of tendency which constitute the structure of patriarchy over time and to follow its development in and through the Western class societies on which Marx’s interest centered. A feminist materialism might in addition enable us to expand the Marxian account to include all human activity rather than focussing on activity more characteristic of males in capitalism. The development of such a historical and materialist account is a very large task, one which requires the political and theoretical contributions of many feminists. Here I will address only the question of the epistemological underpinnings such a materialism would require. Most specifically, I will attempt to develop, on the methodological base provided by Marxian theory, an important epistemological tool for understanding and opposing all forms of domination — a feminist standpoint.",2005,1446
https://openalex.org/W4298054234,A Contemporary Critique of Historical Materialism,,1981,1522
https://openalex.org/W1572168882,Centuries of Childhood. A Social History of Family Life,"What was the role of the Catholic colleges in urban social mobility? Why has Pennsylvania a mediocre record in the development of community colleges? What has been the history of Pennsylvania State University's relations with the state legislature and with the University of Pennsylvania? What has been the career of academic freedom in Pennsylvania? How did the changing economic and social life of the commonwealth shape the higher learning, and vice versa? What does the record of higher education in Pennsylvania tell about democracy in Pennsylvania? To what extent were the colleges and universities significantly influenced not by conscious administrative decision but by student action? Who taught in these institutions and what did they teach? How did the struggle between piety and intellect go in Pennsylvania? At this moment in the historiography of higher education the answers to these questions should not remain a mystery at the end of a book that runs to more than 800 pages.",1963,2498
https://openalex.org/W1527454661,A Contemporary Critique of Historical Materialism,"Preface to the Second Edition - Introduction - The Time-Space Constitution of Social Systems - Domination, Power and Exploitation: An Analysis - Society as Time-Traveller: Capitalism and World History - Time- Space Distanciation and the Generation of Power - Property and Class Society - Time, Labour and the City - Capitalism: Integration, Surveillance and Class Power - The Nation-State, Nationalism and Capitalist Development - The State: Class Conflict and Political Order - Between Capitalism and Socialism: Contradiction and Exploitation - Notes and References - Index",1995,1203
https://openalex.org/W2170667996,Discovering the News: A Social History of American Newspapers,"Journal Article Discovering the News: A Social History of American Newspapers. By Michael Schudson. (New York: Basic, 1978. xi + 228 pp. Notes and index. $10.95.) Get access Thomas C. Leonard Thomas C. Leonard University of California, Berkeley Search for other works by this author on: Oxford Academic Google Scholar Journal of American History, Volume 66, Issue 2, September 1979, Pages 365–366, https://doi.org/10.2307/1900892 Published: 01 September 1979",1979,1467
https://openalex.org/W4252368274,A Social History of Truth,,1994,1825
https://openalex.org/W619048631,Habermas on historical materialism,"Introduction I. Theory Reconstruction and Theory Replacement II. Philosophical Anthropology or Theory of History? III. The Transitional Period IV. Knowledge and Interest Again V. The Reconstruction of Historical Materialism VI. The Rejection of Historical Materialism VII. The Concept of Ideology and the Crisis Theory VIII. The Labor Theory of Value and Historical Materialism IX. Theory, Practice, and the Relevance of Reason Conclusion The Relevance of Reason Notes Index",1989,235
https://openalex.org/W1517531651,In the Tracks of Historical Materialism,"What have been the major changes in the intellectual landscape of the left since the mid seventies? Have they on balance represented an emancipation or a retreat for socialist culture as a whole? the Tracks of Historical Materialism looks at some of the paradoxes in the evolution of Marxist thought in this period. It starts by considering the remarkable and variegated growth of historical materialism in the Anglo-American world, spreading across a broad field from history to economics, politics to literature, sociology to philosophy. By contrast, the same years have seen a drastic recession of Marxist influences in the Latin cultures where it was traditionally strong France or Italy. Its main theoretical challengers there proved to be successive forms of structuralism and post-structuralism. The common coordinates of these tracing the outer bounds of the work of Levi-Strauss or Lacan, Foucault or Derrida are surveyed and criticized, in the light of the inherent limitations of the language model from which they derived. In Germany, on the other hand, the theoretical scene has been largely dominated by the accumulating work of Habermas, with its roots in the Frankfurt School. Yet Habermas's philosophy also reveals unexpected affinities with the trend of prevalent Parisian concerns, in its unifying emphasis on communication while at the same time diverging from them in the constancy of its political commitments. The historical background of international class struggles against which these variant fates of Marxism in the west were played out is then explored, with special attention to the interconnection between the destinies of Maoism and Eurocommunism. What, finally, is the nature of the relationship between Marxism as a theory and socialism as a goal? A conclusion reviews the wider issues posed for the labour movement by the rise of the peace movement and the women's movement, and suggests a range of priorities for the further development of Marxist thought in the eighties.",1985,295
https://openalex.org/W1896517735,"Gramsci, Historical Materialism and International Relations","The essays collected here relate the writings of Antonio Gramsci and others to the contemporary reconstruction of historical materialist theories of international relations. The contributors analyse the contradiction between globalising and territorially-based social and political forces in the context of past, present and future world orders, and view the emerging world order as undergoing a structural transformation, a 'triple crisis' involving economic, political and 'socio-cultural' change. The prevailing trend of the 1980s and early 1990s toward the marketisation and commodification of social relations leads the contributors to argue that socialism needs to be redefined away from the totalising visions associated with Marxism-Leninism, towards the idea of the self-defence of society and social choice to counter the disintegrating and atomising effects of globalising and unplanned market forces.",1993,622
https://openalex.org/W4229865389,Authority and Tradition in Ancient Historiography,"This book is a study of the various claims to authority made by the ancient Greek and Roman historians throughout their histories and is the first to examine all aspects of the historian's self-presentation. It shows how each historian claimed veracity by imitating, modifying, and manipulating the traditions established by his predecessors. Beginning with a discussion of the tension between individuality and imitation, it then categorises and analyses the recurring style used to establish the historian's authority: how he came to write history; the qualifications he brought to the task; the inquiries and efforts he made in his research; and his claims to possess a reliable character. By detailing how each historian used the tradition to claim and maintain his own authority, the book contributes to a better understanding of the complex nature of ancient historiography.",1997,783
https://openalex.org/W3003389952,SUBALTERN STUDIES: DECONSTRUCTING HISTORIOGRAPHY,,2012,1314
https://openalex.org/W2050551235,Democracy Against Capitalism: Renewing Historical Materialism.,"Ellen Meiksins Wood argues that with the collapse of Communism the theoretical project of Marxism and its critique of capitalism is more timely and important than ever. Current intellectual fashions of the left which emphasise 'post-modern' fragmentation, 'difference', contingency and the 'politics of identity' can barely accommodate the idea of capitalism, let alone subject the capitalist system to critique. In this book she sets out to renew the critical programme of historical materialism by redefining its basic concepts and its theory of history in original and imaginative ways, using them to identify the specificity of capitalism as a system of social relations and political power. She goes on to explore the concept of democracy in both the ancient and modern world, examining the concept's relation to capitalism, and raising questions about how democracy might go beyond the limits imposed on it by capitalism.",1996,251
https://openalex.org/W1499622362,Writing Social History,"The eight essays in this volume seek to combine an empirical study of themes in late-colonial Indian history with an intervention in current debates about the extent and nature of Western colonial domination. Sumit Sarkar makes a powerful case for the importance of richly-detailed, nuanced social history.",1998,484
https://openalex.org/W2127955466,America Calling: A Social History of the Telephone to 1940,"From the Publisher:
The telephone looms large in our lives, as ever present in modern societies as cars and television. Claude Fischer presents the first social history of this vital but little-studied technologyhow we encountered, tested, and ultimately embraced it with enthusiasm. Using telephone ads, oral histories, telephone industry correspondence, and statistical data, Fischer's work is a colorful exploration of how, when, and why Americans started communicating in this radically new manner. Studying three California communities, Fischer uncovers how the telephone became integrated into the private worlds and community activities of average Americans in the first decades of this century. Women were especially avid in their use, a phenomenon which the industry first vigorously discouraged and then later wholeheartedly promoted. Again and again Fischer finds that the telephone supported a wide-ranging network of social relations and played a crucial role in community life, especially for women, from organizing children's relationships and church activities to alleviating the loneliness and boredom of rural life. Deftly written and meticulously researched, America Calling adds an important new chapter to the social history of our nation and illuminates a fundamental aspect of cultural modernism that is integral to contemporary life.
Author Biography: Claude S. Fischer is Professor of Sociology at the University of California, Berkeley, and the author of To Dwell among Fris: Personal Networks in Town and City (1982) and The Urban Experience (1984).",1994,667
https://openalex.org/W2330048065,Democracy against Capitalism: Renewing Historical Materialism,,1996,447
https://openalex.org/W2013967799,Historical Materialism and Globalization,"Editor's Introduction Part I. Globalization: the Relevance of Historical Materialistic Approaches Chapter 1. Global Capital, Nation States Chapter 2. How Many Capitalisms? Historical Materialism in the Debates about Imperialism and Globalization Chapter 3. The Search for Relevance: Historical Materialism after the Cold War Chapter 4. The Pertinence of Imperialism Chapter 5. A Flexible Marxism for Flexible Times Part II. Historical Materialism as a Theory of Globalization Chapter 6. Class Struggle, States, and Global Circuits of Capital Chapter 7. Historical Materialism and the Emancipation of Labour Chapter 8. Making Sense of the International System: the Promises and Pitfalls of the newest Marxist Theories of International Relations Chapter 9. The Dialectic of Globalization: A Critique of Social Constructivism Part III. Historical Materialism and the Politics of Globalization Chapter 10. The Class Politics of Globalization Chapter 11. Capitalist Globalization and the Transnationalization of the State Chapter 12. Historical Materialsim, Globalization, and Law: Competing Conceptions of Property Chapter 13. The Politics of Regulated Liberalism: A Historical Materialistic approach to European Integration Chapter 14. Historical Materialism, Ideology, and the Politics of Globalizing Capitalism",2006,112
https://openalex.org/W2345357206,Journal of Economic and Social History Of the Orient.,"Wiet Gaston. Journal of Economic and Social History Of the Orient.. In: Syria. Tome 36 fascicule 1-2, 1959. pp. 144-145.",1959,449
https://openalex.org/W2041660848,The Condition of Postmodernity: An Enquiry into the Origins of Cultural Change,"The argument. Preface. Acknowledgements. Part I: The Passage from Modernity to Postmodernity in Contemporary Culture: . 1. Introduction. 2. Modernity and Modernism. 3. Postmodernism. 4. Postmodernism in the City: Architecture and Urban Design. 5. Modernization. 6. POSTmodernISM or postMODERNism?. Part II: The Political-Economic Transformation of late Twentieth-Century Capitalism: . 7. Introduction. 8. Fordism. 9. From Fordism to Flexible Accumulation. 10. Theorizing the Transition. 11. Flexible Accumulation - Solid Transformation or Temporary Fix?. Part III: The Experience of Space and Time: . 12. Introduction. 13. Individual Spaces and Times in Social Life. 14. Time and Space as Sources of Social Power. 15. The Time and Space of the Enlightenment Project. 16. Time-space Compression and the Rise of Modernism as a Cultural Force. 17. Time-Space Compression and the Postmodern Condition. 18. Time and Space in the Postmodern Cinema. Part IV: The Condition of Postmodernity:. 19. Postmodernity as a Historical Condition. 20. Economics with Mirrors. 21. Postmodernism as the Mirror of Mirrors. 22. Fordist Modernism versus Flexible Postmodernism, or the Interpenetration of Opposed Tendencies in Capitalism as a Whole. 23. The Transformative and Speculative Logic of Capital. 24. The Work of Art in an Age of Electronic Reproduction and Image Banks. 25. Responses to Time-Space Compression. 26. The Crisis of Historical Materialism. 27. Cracks in the Mirrors, Fusions at the Edges. References. Index.",1991,4970
